Product.Description,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020
Product 3864,646,391,116,826,685,568,180,634,785,202,237,351,811,321,525,949,7,405,457,382,325,855,532,28,554,404,271,46,438,240,389,613,132,272,548,475,226,572,70,267,132
Product 3865,639,176,772,207,216,641,613,168,23,465,528,851,529,84,830,781,37,463,404,191,971,593,802,216,197,548,756,616,930,360,88,853,199,681,18,432,393,718,463,359,87
Product 3866,328,172,891,523,877,775,554,738,147,237,620,623,736,55,847,766,64,594,463,779,571,697,497,872,874,973,798,706,860,510,683,656,113,215,462,289,431,763,632,458,996
Product 3867,89,564,897,439,643,636,194,951,342,702,599,770,984,166,214,127,628,401,401,907,498,624,949,780,717,998,946,358,736,235,981,711,195,127,633,294,799,643,191,542,661
Product 3868,844,637,944,473,682,654,819,149,532,802,61,982,756,385,106,838,78,508,488,938,903,863,749,476,941,343,388,825,276,105,423,225,901,697,998,666,692,268,399,619,680
Product 3869,512,178,704,118,463,572,298,556,250,748,457,321,4,515,962,130,744,493,171,99,973,26,643,331,71,451,645,929,873,665,343,18,45,462,80,411,564,542,200,197,76
Product 3870,304,583,5,430,51,438,874,737,734,609,31,127,382,165,869,486,658,629,103,270,424,647,734,998,352,987,574,58,757,164,439,801,411,66,488,634,564,465,490,817,206
Product 3871,695,125,936,467,511,650,61,72,736,394,548,490,922,582,666,866,622,650,134,22,905,986,215,706,353,505,590,79,896,399,113,426,918,82,421,983,66,903,264,119,461
Product 3872,361,654,215,917,970,59,366,560,875,839,321,307,745,611,969,630,44,951,691,601,551,813,444,285,221,749,563,909,587,244,897,365,542,670,990,631,412,544,717,353,552
Product 3873,726,132,886,595,973,481,68,18,563,410,269,797,264,176,354,452,992,348,213,524,622,999,935,570,790,296,789,395,254,730,837,404,792,561,133,79,268,588,883,492,879
Product 3874,912,191,610,927,558,606,479,810,636,754,515,165,763,376,58,317,449,114,620,967,952,31,515,895,176,618,162,328,544,362,32,465,648,506,13,807,845,374,751,272,625
Product 3875,574,881,356,250,191,181,915,865,989,57,180,592,409,400,403,753,161,533,243,438,320,26,780,89,364,994,390,458,835,754,466,625,962,173,6,985,529,446,991,409,995
Product 3876,605,463,361,864,951,635,150,825,429,619,944,328,292,47,513,84,679,104,867,905,297,592,538,633,842,261,543,919,771,789,791,896,162,578,780,921,417,364,351,319,317
Product 3877,291,789,94,793,630,646,802,815,337,712,471,860,957,541,355,934,920,655,704,565,306,445,57,69,649,738,976,90,295,334,401,787,660,482,854,457,425,571,374,488,83
Product 3878,315,600,276,796,347,947,83,498,12,163,211,290,565,841,490,874,57,855,487,85,801,272,602,559,352,449,75,891,742,748,941,97,515,778,46,211,794,675,89,608,34
Product 3879,941,561,393,167,28,364,341,883,519,6,648,21,205,31,936,662,988,69,77,367,459,630,429,915,928,778,177,463,10,946,409,287,180,291,354,775,829,840,457,416,42
Product 3880,775,59,286,968,959,317,850,887,336,974,485,381,323,686,400,813,178,773,552,994,9,13,267,927,215,478,839,833,111,846,899,42,926,144,63,361,375,540,729,231,79
Product 3881,901,106,161,771,813,826,22,548,175,520,66,167,451,799,177,307,330,305,540,447,108,418,619,716,373,885,134,963,709,542,684,747,420,894,835,666,420,81,108,277,432
Product 3882,802,349,953,68,662,177,784,49,323,804,624,645,428,406,86,41,516,995,34,247,861,964,892,511,472,157,22,625,436,629,372,230,981,481,195,424,331,806,496,302,339
Product 3883,347,761,367,760,235,990,62,516,773,370,484,651,723,944,733,125,175,388,276,290,429,147,724,134,439,176,301,119,373,902,281,467,203,231,678,458,319,200,186,460,760
Product 3884,15,304,757,745,320,243,111,496,483,621,700,390,350,202,534,829,261,944,656,501,400,218,399,541,848,892,900,950,165,697,783,914,18,241,111,156,570,269,998,464,339
Product 3885,340,871,506,638,124,57,919,31,170,305,435,284,718,351,825,21,185,881,920,515,937,57,688,724,613,523,751,463,830,66,623,29,645,359,751,513,392,339,284,971,631
Product 3886,868,166,592,271,94,626,146,942,758,404,369,611,18,657,127,945,177,838,722,144,952,399,94,504,662,767,487,78,205,244,807,65,970,472,957,989,857,348,753,969,681
Product 3887,724,793,622,843,116,449,334,192,514,328,217,77,325,22,601,428,86,714,971,397,866,433,301,44,148,472,78,994,526,97,332,275,34,669,897,46,845,549,595,117,951
Product 3888,130,395,257,68,19,945,643,769,49,611,81,809,157,599,703,663,756,746,330,622,192,329,183,196,201,149,506,284,748,705,168,428,969,205,710,28,841,699,26,636,702
Product 3889,217,495,714,763,594,978,384,367,81,972,972,811,623,221,914,208,342,353,281,450,50,765,439,278,541,248,552,385,724,161,801,104,950,983,114,165,796,323,502,954,2
Product 3890,459,688,553,134,821,94,194,405,729,329,560,916,454,776,229,11,677,858,288,794,553,149,646,54,91,649,241,476,23,729,598,543,779,849,939,947,770,832,75,36,150
Product 3891,162,480,580,246,676,623,719,230,172,463,199,370,685,595,795,890,9,430,983,223,554,10,54,234,346,367,273,430,440,953,815,330,514,931,681,412,728,394,927,657,347
Product 3892,788,974,708,510,823,542,762,208,131,630,984,798,559,995,835,383,613,84,9,727,603,340,178,39,992,979,902,600,189,898,590,273,535,629,496,759,854,418,292,20,389
Product 3893,320,980,417,114,606,325,546,217,570,538,454,371,865,164,868,304,564,576,848,679,386,177,303,120,79,706,809,367,856,50,520,302,189,352,40,699,606,843,309,62,588
Product 3894,604,807,97,215,844,32,372,149,207,233,383,969,811,167,59,81,588,757,136,902,996,571,706,476,798,676,467,351,990,328,837,342,865,652,957,537,943,30,372,124,880
Product 3895,131,21,743,833,507,451,564,70,534,731,319,662,279,608,205,338,667,679,941,267,849,707,64,150,625,624,532,143,155,162,472,393,459,7,497,625,690,633,995,665,539
Product 3896,343,979,363,191,737,531,969,373,612,752,917,686,571,324,469,21,287,199,318,912,726,125,546,12,962,518,570,477,852,31,142,840,108,835,606,961,448,144,531,626,233
Product 3897,986,68,692,371,331,915,674,386,439,274,223,183,20,549,823,410,965,138,9,48,619,78,190,685,813,418,260,937,264,838,778,935,143,92,799,107,383,808,529,606,950
Product 3898,878,974,521,353,622,385,441,230,667,517,210,566,844,118,66,76,123,681,306,751,712,535,516,892,501,749,387,929,845,966,234,834,261,285,854,307,842,505,987,884,817
Product 3899,737,625,128,362,342,178,743,936,888,79,915,253,427,917,597,372,893,834,77,469,781,752,174,85,241,650,792,639,515,122,101,687,665,505,393,766,62,237,830,827,462
Product 3900,541,80,776,132,246,36,128,882,546,751,472,939,730,168,317,103,651,603,835,60,10,189,367,589,270,940,997,182,61,274,725,789,925,401,373,838,167,961,844,906,168
Product 3901,858,683,967,438,487,863,786,673,101,651,947,721,866,12,26,923,268,59,710,846,84,606,684,849,696,929,590,875,464,447,638,790,414,583,38,374,284,963,867,872,383
Product 3902,12,273,584,709,959,147,453,382,108,101,360,211,780,961,984,128,215,351,807,363,377,704,945,25,779,333,959,901,842,524,175,461,438,636,824,189,861,488,923,776,134
Product 3903,964,495,382,440,30,399,61,653,261,579,706,704,625,890,743,219,536,473,734,289,276,897,453,35,675,416,662,507,374,325,981,419,1,557,98,127,716,955,766,551,594
Product 3904,739,334,622,847,285,482,418,643,824,848,366,936,989,709,839,397,968,244,351,910,277,864,341,101,776,14,560,469,362,564,689,819,602,211,31,65,568,187,538,878,26
Product 3905,380,380,816,111,957,370,601,550,580,650,275,18,247,850,423,985,962,946,494,24,937,647,905,937,14,878,170,801,262,136,795,496,549,288,567,611,468,92,938,918,804
Product 3906,173,376,437,973,432,883,728,727,547,246,332,504,774,960,83,452,26,159,741,194,139,486,836,698,36,179,963,504,812,17,184,722,963,56,119,99,492,207,565,45,382
Product 3907,101,159,275,210,257,4,3,520,606,180,899,620,720,67,354,102,318,628,970,313,223,263,805,396,475,288,31,537,961,367,133,433,645,888,569,573,103,583,833,705,909
Product 3908,813,590,22,680,281,125,424,644,395,537,673,467,47,931,77,212,922,367,610,975,416,893,851,124,689,148,571,987,898,703,922,902,502,671,674,297,625,614,920,572,119
Product 3909,252,306,103,839,979,787,584,995,479,77,989,167,559,604,150,126,573,80,417,695,362,669,720,590,652,618,156,374,460,28,819,720,460,32,266,867,474,507,61,879,561
Product 3910,304,724,816,297,121,728,713,64,777,157,569,350,30,948,168,690,179,242,87,26,962,341,44,759,201,804,496,516,810,687,382,660,627,710,892,831,915,23,422,37,339
Product 3911,561,876,899,923,683,123,264,894,120,639,494,618,273,138,29,427,959,972,800,449,559,228,906,584,829,971,356,79,166,848,2,711,384,950,250,724,830,826,510,574,733
Product 3912,124,24,876,858,417,205,447,836,518,569,644,100,868,712,503,411,875,14,86,506,348,133,526,715,247,675,79,949,190,833,808,41,362,253,496,61,802,531,998,677,419
Product 3913,682,954,227,449,203,63,286,686,713,8,730,70,298,191,297,844,567,59,555,597,954,605,707,182,867,301,663,872,832,281,113,78,187,295,216,15,66,971,195,53,545
Product 3914,425,465,612,926,877,319,355,917,455,260,319,994,266,528,479,887,759,665,176,831,25,850,168,518,765,852,187,814,361,721,846,249,564,335,904,810,734,283,106,151,937
Product 3915,313,356,758,170,378,280,153,222,877,470,654,395,566,349,212,811,280,228,852,893,678,91,744,635,833,351,236,122,486,929,293,97,398,66,815,746,856,340,935,934,89
Product 3916,351,617,815,280,163,647,795,905,898,790,950,891,894,157,386,277,851,9,466,816,965,460,489,181,115,736,766,858,104,818,690,277,711,0,811,611,453,745,199,35,952
Product 3917,669,449,83,211,44,280,87,846,486,895,741,629,663,360,688,754,208,424,271,583,578,119,892,79,739,371,725,50,170,977,717,48,768,701,685,985,146,241,928,857,157
Product 3918,468,654,744,916,309,880,876,514,418,574,804,644,610,587,912,965,397,309,390,218,644,702,438,317,602,592,416,564,953,445,425,978,641,789,430,304,542,472,963,172,532
Product 3919,90,352,706,944,703,86,816,116,147,208,834,251,964,679,90,684,89,195,552,428,559,967,205,244,778,351,199,469,981,127,520,797,625,632,427,497,164,285,756,453,525
Product 3920,103,958,658,834,377,598,207,506,366,72,226,144,718,624,548,403,140,555,294,787,866,388,629,418,254,108,877,594,550,428,942,558,286,356,22,587,319,640,404,743,139
Product 3921,600,418,568,547,976,992,641,100,582,393,432,549,946,396,271,594,669,392,458,441,956,610,775,562,409,469,807,398,476,790,990,266,484,277,810,26,580,539,743,892,271
Product 3922,525,843,18,83,728,184,189,430,2,693,673,367,561,646,400,670,493,88,704,42,354,463,475,582,128,412,488,312,83,992,108,634,593,534,531,866,475,10,210,900,863
Product 3923,967,42,536,969,45,382,147,245,170,823,528,362,372,212,745,82,879,484,920,612,869,251,561,582,795,249,876,637,928,757,161,363,726,168,578,640,804,212,131,290,325
Product 3924,674,316,847,11,909,218,373,328,606,52,816,662,236,645,254,539,571,158,861,954,12,601,231,128,991,516,823,607,874,675,162,445,303,391,554,439,58,384,222,545,105
Product 3925,598,35,484,349,520,168,138,910,137,807,208,837,772,723,313,344,879,385,547,784,599,953,192,137,566,928,105,360,421,256,668,739,410,842,323,442,968,944,409,565,539
Product 3926,82,814,464,95,424,359,467,59,440,981,770,295,590,256,915,77,960,759,276,58,577,55,909,348,16,969,571,383,386,71,3,584,497,320,123,591,957,876,461,830,395
Product 3927,397,172,296,600,706,322,903,932,37,109,216,820,116,267,146,631,745,897,399,374,246,862,274,649,939,923,954,234,184,827,659,495,933,370,360,302,499,406,142,580,922
Product 3928,977,511,966,845,10,526,560,629,91,212,235,944,514,856,319,44,943,105,896,319,286,189,381,387,468,705,88,364,907,353,831,543,856,813,160,600,185,403,861,755,432
Product 3929,790,490,918,259,105,661,409,517,857,566,141,78,90,940,89,863,210,310,187,155,432,127,423,775,542,74,265,888,688,447,580,339,845,726,380,959,282,73,336,666,791
Product 3930,239,27,786,784,280,948,325,583,134,399,178,76,172,555,379,844,908,286,305,808,634,710,845,510,253,821,699,919,472,204,479,300,841,121,344,678,958,767,820,392,440
Product 3931,853,524,628,493,95,152,11,235,480,283,11,853,150,162,807,685,913,159,900,246,617,981,21,466,781,548,165,927,448,418,457,280,429,983,899,859,167,328,519,481,698
Product 3932,279,136,567,307,358,430,76,822,813,200,445,428,806,104,33,253,782,256,484,548,287,669,156,459,505,791,207,184,77,207,847,227,416,141,616,936,704,673,76,175,137
Product 3933,166,534,745,684,491,700,785,608,274,341,334,899,181,924,611,78,988,228,940,672,93,306,120,493,541,207,951,531,963,959,729,861,205,898,603,577,258,320,41,49,136
Product 3934,984,510,956,278,101,924,669,309,584,704,361,832,913,70,485,411,990,414,742,848,632,789,982,494,699,470,240,82,942,34,82,498,57,909,277,757,490,406,866,411,75
Product 3935,256,199,263,963,924,851,192,739,590,506,492,496,797,91,461,504,791,101,472,218,855,814,361,905,852,714,555,785,226,831,384,830,358,73,227,870,588,516,37,970,734
Product 3936,364,420,837,579,729,958,784,48,252,708,625,204,167,748,520,875,623,485,166,639,304,411,75,229,39,531,758,386,984,996,193,886,769,473,50,908,268,383,443,66,127
Product 3937,963,654,118,255,289,968,362,57,631,419,869,726,799,452,931,967,543,206,749,82,424,751,627,451,292,234,68,663,359,115,341,163,405,856,481,138,433,237,289,680,231
Product 3938,972,473,643,469,224,628,696,458,762,955,707,394,413,410,612,417,895,479,458,277,944,21,369,949,398,60,498,46,598,534,12,494,935,425,335,876,933,251,520,971,288
Product 3939,668,974,167,657,306,697,126,710,195,73,521,145,594,389,855,699,550,290,360,215,366,465,657,277,371,157,3,172,1000,233,669,348,955,451,906,371,630,284,458,974,604
Product 3940,299,355,251,586,236,886,131,404,55,353,220,410,820,685,802,183,830,801,862,39,570,855,768,495,634,65,427,72,243,588,880,472,535,719,794,658,214,708,187,384,969
Product 3941,724,552,228,938,591,715,773,307,543,407,360,796,868,525,81,669,518,862,831,410,78,884,398,265,318,328,217,867,178,70,987,751,232,992,441,363,869,956,600,966,215
Product 3942,269,75,837,677,784,46,438,982,350,539,847,578,544,764,982,721,330,878,122,75,964,405,814,587,644,792,17,787,252,370,339,760,123,871,225,483,404,483,919,55,205
Product 3943,353,292,920,981,772,618,271,360,39,44,523,740,465,902,832,169,166,921,367,930,475,601,602,550,227,343,61,302,34,33,390,703,125,723,477,611,720,420,369,313,834
Product 3944,780,591,942,229,161,392,110,500,4,395,720,106,812,905,965,858,509,799,481,399,770,434,135,201,612,295,178,432,85,30,48,405,412,528,811,824,581,503,376,167,541
Product 3945,235,854,874,652,807,856,270,142,339,917,816,669,593,957,370,367,51,678,47,839,599,980,542,823,280,86,43,349,995,849,603,275,761,536,721,719,113,72,890,608,600
Product 3946,590,113,218,225,295,148,141,115,704,974,469,384,786,528,538,174,349,229,413,451,105,702,264,245,494,96,958,741,513,436,755,808,568,825,495,107,397,834,926,204,765
Product 3947,952,615,903,361,467,471,136,527,613,524,787,356,780,20,329,51,122,84,523,94,989,519,370,736,541,615,70,498,477,945,217,66,882,368,153,639,250,713,950,32,628
Product 3948,676,206,700,650,404,104,568,912,302,160,36,373,904,587,557,841,378,939,279,843,430,458,291,295,181,53,624,492,68,844,403,561,340,117,799,313,491,514,147,302,773
Product 3949,373,88,52,425,347,97,542,456,908,963,216,231,752,220,240,329,772,855,778,150,170,253,525,656,12,312,459,428,681,443,276,983,855,827,573,645,143,849,61,904,593
Product 3950,324,812,144,831,902,142,50,450,554,472,983,356,757,455,238,770,230,559,786,651,353,333,770,198,463,725,319,668,42,948,722,661,749,363,26,991,249,164,167,76,653
Product 3951,191,724,304,745,585,111,87,520,890,631,388,847,183,565,663,597,172,308,70,593,807,330,267,469,134,639,740,306,421,630,587,574,799,76,585,494,206,358,445,988,987
Product 3952,278,129,803,682,860,413,121,315,187,391,245,417,555,992,493,784,780,197,856,348,902,26,269,667,281,502,155,16,177,505,237,230,155,789,444,599,355,83,937,960,140
Product 3953,363,247,395,983,245,744,937,770,484,211,315,42,299,275,713,105,245,532,471,832,171,616,88,945,411,614,497,151,920,435,75,56,841,552,634,98,195,454,231,602,195
Product 3954,69,426,435,248,524,987,89,616,958,779,215,529,353,625,743,223,606,781,24,912,482,960,323,842,66,436,460,468,127,124,897,51,728,613,635,14,281,89,831,634,707
Product 3955,432,992,846,856,29,677,804,285,837,637,424,465,251,575,200,759,496,420,544,380,480,438,754,329,401,447,581,693,17,630,940,967,527,901,918,294,577,751,140,136,526
Product 3956,642,737,809,354,339,800,174,898,910,366,613,866,938,890,658,845,357,816,176,694,618,519,954,685,649,220,569,178,519,616,315,710,234,679,487,936,829,694,895,941,921
Product 3957,824,814,654,154,787,188,778,519,611,778,731,855,157,795,756,867,121,735,953,305,434,543,77,645,76,929,596,97,56,113,267,942,12,642,260,303,925,675,511,329,886
Product 3958,672,166,661,48,906,397,998,219,372,188,186,781,841,183,103,421,484,907,848,322,524,428,619,107,934,993,622,811,581,866,46,197,531,926,603,834,153,897,478,541,412
Product 3959,161,326,549,263,363,387,147,700,2,815,371,746,206,333,580,338,646,699,691,730,136,237,543,633,453,844,563,6,673,225,180,902,357,742,381,822,678,634,660,327,550
Product 3960,462,620,817,463,676,980,450,12,248,949,958,913,587,859,436,336,666,727,281,601,927,868,733,824,869,663,490,421,223,739,867,242,308,675,469,16,119,928,14,973,737
Product 3961,526,751,689,821,799,92,813,992,34,43,543,139,90,186,432,723,508,187,585,101,727,367,901,358,138,503,176,462,357,792,78,828,656,147,178,436,917,649,318,818,708
Product 3962,12,932,183,81,40,501,363,562,940,723,738,865,579,210,791,117,224,48,477,182,302,307,969,44,490,781,478,819,704,326,145,66,710,9,943,666,179,964,491,701,768
Product 3963,693,835,52,670,567,820,263,457,87,867,633,870,459,431,42,577,30,238,114,777,305,137,739,427,309,641,4,973,596,436,551,564,192,712,229,311,246,850,175,750,192
Product 3964,101,572,864,545,768,132,940,202,378,179,275,51,95,494,780,634,411,462,291,419,890,723,429,712,667,524,457,87,742,815,630,607,381,51,19,319,958,316,693,378,53
Product 3965,912,4,932,38,637,533,861,872,979,495,958,885,235,483,213,57,106,661,933,854,200,471,348,89,85,614,362,103,896,974,70,907,380,147,231,862,290,133,443,170,900
Product 3966,244,775,501,67,840,280,950,712,227,400,221,953,432,358,561,852,842,627,689,702,142,487,402,938,553,935,535,257,40,332,679,477,474,695,140,24,58,134,565,722,226
Product 3967,632,456,892,36,140,738,551,189,483,663,509,587,162,190,114,14,354,494,736,360,273,351,824,77,930,648,38,986,822,335,809,157,909,975,240,454,25,997,732,384,377
Product 3968,315,376,613,20,721,398,560,695,52,412,925,88,813,453,272,750,459,480,571,634,831,318,237,782,508,976,84,586,592,846,295,209,991,952,328,445,336,667,857,906,704
Product 3969,840,170,566,145,658,184,950,889,169,766,224,879,618,847,123,376,791,34,611,918,27,208,412,142,791,130,363,181,759,598,816,121,909,850,862,278,261,44,634,170,865
Product 3970,368,986,33,425,748,76,349,33,412,528,973,808,612,901,423,816,975,500,212,917,956,58,151,169,884,26,538,71,943,208,881,960,848,93,701,947,12,317,325,652,494
Product 3971,294,204,945,712,710,944,577,154,226,54,194,314,460,410,603,556,175,377,918,676,344,797,350,491,469,297,475,385,848,21,461,85,356,409,963,249,372,186,266,327,281
Product 3972,76,239,173,523,204,956,683,156,115,937,360,350,753,899,741,439,512,80,738,859,840,147,588,575,550,350,982,449,288,341,242,226,446,485,708,799,70,449,986,802,933
Product 3973,295,472,206,76,896,205,735,758,529,531,807,506,122,833,842,992,359,748,859,529,149,690,380,104,901,727,38,589,363,106,336,20,823,903,670,362,366,111,283,972,583
Product 3974,763,209,65,253,806,746,772,94,693,191,573,464,367,148,186,719,234,854,615,837,237,589,159,757,122,856,370,196,287,754,78,507,496,183,328,223,581,694,761,147,367
Product 3975,578,942,533,802,590,694,787,797,837,957,550,826,919,995,194,730,50,814,925,841,751,249,195,462,304,374,314,823,619,368,478,470,370,582,842,971,786,328,315,113,804
Product 3976,715,848,954,394,618,262,918,194,626,87,326,252,815,659,372,229,335,820,237,600,102,142,392,926,993,540,281,863,584,675,850,25,352,723,324,233,475,230,909,542,318
Product 3977,110,864,197,363,347,860,577,796,674,540,738,193,193,998,426,361,563,352,469,309,647,112,865,279,824,590,487,62,75,583,137,709,485,105,464,259,595,23,66,662,671
Product 3978,85,553,58,952,243,478,697,582,552,538,995,520,569,211,973,879,652,363,133,447,797,939,415,172,883,903,283,311,328,214,209,134,233,981,707,543,693,767,391,199,168
Product 3979,831,665,912,214,285,341,241,804,322,520,400,213,691,980,611,669,263,67,94,601,512,413,62,976,669,912,82,106,694,855,729,164,353,633,651,106,448,930,774,322,710
Product 3980,676,244,209,944,638,938,800,449,755,519,622,191,483,23,91,189,992,805,31,63,246,347,995,156,182,171,732,933,108,647,100,536,747,366,371,347,11,640,60,654,856
Product 3981,606,210,387,455,270,819,234,473,45,961,959,598,900,141,589,411,185,520,589,866,634,244,555,757,968,121,764,191,745,893,150,892,772,361,623,463,31,364,935,97,724
Product 3982,287,742,686,76,221,463,641,295,932,237,926,978,293,454,996,523,200,893,14,618,259,988,327,256,892,847,116,727,940,331,472,367,341,926,481,198,952,880,823,149,961
Product 3983,611,377,237,452,967,253,505,919,574,741,727,422,751,909,694,609,903,860,845,8,470,953,802,875,375,292,602,943,513,199,926,77,182,230,539,836,603,821,15,705,777
Product 3984,546,391,284,558,325,636,534,576,503,533,683,459,216,836,460,545,230,4,687,343,882,199,889,559,15,275,726,21,126,830,940,846,526,696,143,431,134,924,929,458,980
Product 3985,30,215,465,435,52,926,160,497,271,777,640,223,65,631,369,710,99,851,915,318,442,183,912,266,996,569,94,658,911,448,716,952,836,626,664,269,242,657,102,841,228
Product 3986,478,718,178,927,792,499,136,369,180,87,462,105,850,527,567,29,226,827,935,467,114,296,141,225,378,14,194,887,102,264,183,286,424,342,256,740,8,739,861,826,974
Product 3987,40,605,0,60,79,73,532,271,88,983,938,443,357,546,550,673,121,414,720,959,112,916,967,775,33,189,269,542,509,921,876,753,925,696,382,763,675,867,992,334,962
Product 3988,428,961,653,23,645,94,612,866,5,678,754,188,292,619,547,621,717,80,813,389,7,721,513,547,367,842,692,962,224,819,660,329,689,327,905,50,3,221,280,747,833
Product 3989,59,209,60,491,483,274,504,643,569,444,962,984,518,577,184,699,747,944,828,26,37,705,725,838,890,757,516,201,657,322,54,682,506,583,558,560,620,288,472,737,764
Product 3990,484,770,514,712,361,128,660,658,931,629,558,992,978,884,6,277,693,348,369,326,430,265,805,104,448,777,944,568,457,803,698,201,360,777,190,506,448,230,523,758,878
Product 3991,778,277,638,346,812,983,787,320,531,822,695,455,838,26,163,126,30,268,627,811,113,736,796,899,162,686,422,829,185,229,513,2,843,700,874,704,88,133,952,677,989
Product 3992,355,217,994,53,695,330,229,874,408,311,969,616,535,140,629,456,24,565,962,835,527,221,839,794,129,573,625,465,401,664,693,627,888,110,96,70,235,815,426,51,130
Product 3993,226,662,948,14,71,336,7,793,474,447,13,648,171,9,737,262,509,411,3,583,666,939,779,398,271,64,229,243,74,320,838,394,191,863,370,937,999,279,399,138,525
Product 3994,505,216,114,972,408,738,347,765,831,148,544,174,162,212,18,8,278,978,112,373,652,401,272,975,387,564,128,600,104,739,508,450,913,445,611,244,88,337,519,326,397
Product 3995,626,615,146,586,345,359,393,522,122,587,967,827,160,586,416,666,814,794,738,645,927,705,455,495,24,641,538,461,653,132,998,83,643,601,218,131,91,888,259,520,217
Product 3996,689,867,953,349,749,249,975,243,379,768,519,510,895,156,477,562,741,115,573,862,969,464,355,166,351,461,49,536,519,71,962,719,985,329,874,135,15,772,348,501,861
Product 3997,192,634,695,53,417,446,849,164,616,266,674,841,996,53,687,357,524,954,32,118,362,821,104,847,124,75,988,365,546,854,273,402,372,103,297,858,924,234,336,315,667
Product 3998,925,240,937,407,927,921,34,570,828,110,59,141,528,243,959,294,528,938,570,32,758,312,116,859,637,969,498,987,731,628,232,856,5,331,562,677,38,141,942,229,985
Product 3999,905,357,489,849,636,637,99,584,121,448,516,276,543,447,617,650,694,980,797,163,204,252,146,859,653,153,103,267,70,579,140,85,947,67,700,322,941,510,332,441,120
Product 4000,814,113,91,3,458,679,857,311,500,656,558,452,668,986,28,740,784,252,646,483,709,150,771,451,306,700,759,802,323,930,1,61,491,931,929,514,305,483,637,923,708
Product 4001,471,161,771,46,649,334,48,327,378,205,756,808,561,514,572,95,960,93,171,20,771,491,292,819,820,320,120,606,113,159,828,111,386,468,524,848,133,420,685,305,97
Product 4002,365,555,154,167,758,673,227,739,882,674,315,480,639,266,93,678,828,358,277,690,450,562,319,506,167,130,201,887,612,724,857,511,936,631,64,643,245,727,637,125,648
Product 4003,7,110,207,800,170,876,942,146,861,769,945,15,339,374,298,234,682,507,148,941,385,620,150,569,519,559,901,239,925,512,368,145,302,881,95,795,627,443,910,859,624
Product 4004,118,533,762,704,165,491,242,510,330,258,136,212,137,853,536,14,309,130,118,376,959,6,42,732,629,511,231,53,52,582,961,272,302,249,859,987,346,2,623,700,165
Product 4005,259,804,529,144,905,383,86,576,396,737,49,447,796,760,768,944,696,306,669,550,940,633,715,709,243,429,621,362,368,11,860,561,437,597,112,796,748,197,402,432,672
Product 4006,192,572,414,586,255,848,290,162,251,845,786,722,869,785,996,443,940,607,226,352,465,785,645,521,693,950,745,568,431,765,463,994,110,719,688,429,875,706,286,559,549
Product 4007,481,552,275,763,707,472,541,568,948,521,293,258,22,489,682,752,429,516,338,208,821,504,201,269,708,864,495,607,541,603,746,457,844,785,536,677,143,430,6,93,287
Product 4008,886,26,447,272,438,117,835,372,2,868,907,941,37,595,142,344,640,346,468,520,936,861,278,809,679,765,149,528,996,513,718,593,867,360,88,585,539,679,248,645,956
Product 4009,204,580,267,719,908,504,685,443,852,698,104,254,706,662,236,285,532,439,986,65,433,260,30,636,89,807,810,428,750,451,742,719,844,316,461,683,281,68,345,58,352
Product 4010,917,87,678,591,38,171,734,587,992,189,935,723,521,387,767,849,298,787,378,229,485,756,746,524,346,226,692,294,67,564,843,562,762,775,447,805,723,360,5,716,48
Product 4011,893,538,790,335,614,714,852,467,883,888,599,447,825,629,907,68,483,813,922,400,273,449,417,421,922,921,490,119,823,46,253,570,43,493,677,486,573,100,376,374,845
Product 4012,401,298,255,243,149,249,464,44,702,989,510,335,649,218,571,241,118,975,22,45,538,372,752,589,269,950,296,126,653,557,28,39,845,961,585,728,306,332,745,207,157
Product 4013,940,745,697,747,519,334,93,426,660,671,345,303,363,806,405,135,276,567,990,739,992,124,395,587,450,710,851,457,721,886,528,25,227,698,109,714,869,982,688,482,613
Product 4014,262,951,819,917,541,741,633,773,838,73,788,256,889,468,930,973,636,667,810,643,984,711,388,867,249,947,759,354,947,652,758,123,577,374,720,523,965,503,646,236,562
Product 4015,325,396,745,451,251,227,149,195,988,106,317,937,230,318,605,430,200,386,895,783,918,701,845,19,809,918,990,395,17,233,161,240,988,560,346,8,792,131,968,281,763
Product 4016,661,116,625,562,17,764,891,394,667,559,572,108,579,390,58,743,101,51,820,298,902,702,401,202,0,647,727,116,277,720,18,809,800,151,545,138,125,757,511,728,649
Product 4017,727,974,729,107,80,880,694,326,720,154,743,199,756,617,438,363,461,106,494,102,744,8,525,181,950,561,220,951,574,761,357,602,535,888,201,494,601,709,285,884,914
Product 4018,245,916,425,983,852,872,475,776,910,488,658,950,988,103,179,45,84,271,281,103,311,890,445,847,636,664,175,844,99,510,668,597,314,875,974,738,169,308,242,9,767
